# Copyright © 2012, Stanford University. All rights reserved.
#
# Authors:
#    Jonathan R Karr, jkarr@stanford.edu
#    Jayodita C Sanghvi, jayodita@stanford.edu
#    Derek N Macklin, macklin@stanford.edu
#    Jared M Jacobs, jmjacobs@stanford.edu
#    Markus W Covert, mcovert@stanford.edu
#
# Affiliation:
#    Covert Lab
#    Department of Bioengineering
#    Stanford University
#    http://covertlab.stanford.edu
#
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html.
#
# Species: Mycoplasma genitalium G37
# Database: MGEN243273cyc
# Version: 16.0
# File Name: protein-links.dat
# Date and time generated: March 29, 2012, 18:01:33
#
MG_084_MONOMER	MG_084		tRNA(Ile)-lysidine synthetase
MG_085_MONOMER	MG_085		HPr(Ser) kinase/phosphatase
MG_086_MONOMER	MG_086		prolipoprotein diacylglyceryl transferase
MG_087_MONOMER	MG_087		ribosomal protein S12
MG_088_MONOMER	MG_088		ribosomal protein S7
MG_089_MONOMER	MG_089		translation elongation factor G
MG_090_MONOMER	MG_090		ribosomal protein S6
MG_091_MONOMER	MG_091		single-strand binding protein family
MG_092_MONOMER	MG_092		ribosomal protein S18
MG_093_MONOMER	MG_093		ribosomal protein L9
MG_094_MONOMER	MG_094		replicative DNA helicase
MG_095_MONOMER	MG_095		lipoprotein, putative
MG_096_MONOMER	MG_096		
MG_097_MONOMER	MG_097		uracil-DNA glycosylase, putative
MG_098_MONOMER	MG_098		glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, C subunit
MG_099_MONOMER	MG_099		glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit
MG_100_MONOMER	MG_100		glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit
MG_101_MONOMER	MG_101		Uncharacterized HTH-type transcriptional regulator
MG_102_MONOMER	MG_102		thioredoxin-disulfide reductase
MG_103_MONOMER	MG_103		
MG_476_MONOMER	MG_476		preprotein translocase, SecG subunit
MG_104_MONOMER	MG_104		ribonuclease R
MG_105_MONOMER	MG_105		putative DNA integrity scanning protein
MG_106_MONOMER	MG_106		peptide deformylase
MG_107_MONOMER	MG_107		guanylate kinase
MG_108_MONOMER	MG_108		Ser/Thr protein phosphatase 2C, putative
MG_109_MONOMER	MG_109		serine/threonine protein kinase, putative
MG_110_MONOMER	MG_110		ribosome small subunit-dependent GTPase A
MG_111_MONOMER	MG_111		glucose-6-phosphate isomerase
MG_112_MONOMER	MG_112		ribulose-phosphate 3-epimerase
MG_113_MONOMER	MG_113		asparaginyl-tRNA synthetase
MG_114_MONOMER	MG_114		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MG_115_MONOMER	MG_115		competence/damage-inducible protein CinA domain protein
MG_116_MONOMER	MG_116		
MG_117_MONOMER	MG_117		
MG_118_MONOMER	MG_118		UDP-glucose 4-epimerase
MG_119_MONOMER	MG_119		Monosaccharide (riboside/galactoside) ABC transporter, ATP-binding protein
MG_120_MONOMER	MG_120		Monosaccharide (riboside/galactoside) ABC transporter, permease protein
MG_121_MONOMER	MG_121		Monosaccharide (riboside/galactoside) ABC transporter, permease protein
MG_122_MONOMER	MG_122		DNA topoisomerase I
MG_123_MONOMER	MG_123		arginine deaminasse
MG_124_MONOMER	MG_124		thioredoxin
MG_125_MONOMER	MG_125		Cof-like hydrolase, putative
MG_126_MONOMER	MG_126		tryptophanyl-tRNA synthetase
MG_127_MONOMER	MG_127		Spx subfamily protein
MG_128_MONOMER	MG_128		inorganic polyphosphate/ATP-NAD kinase, probable
MG_129_MONOMER	MG_129		Putative phosphotransferase enzyme glucose-specific IIB component
MG_130_MONOMER	MG_130		
MG_131_MONOMER	MG_131		hypothetical protein
MG_132_MONOMER	MG_132		purine nucleoside phosphoramidase
MG_133_MONOMER	MG_133		membrane protein, putative
MG_134_MONOMER	MG_134		
MG_135_MONOMER	MG_135		membrane protein, putative
MG_136_MONOMER	MG_136		lysyl-tRNA synthetase
MG_137_MONOMER	MG_137		UDP-galactopyranose mutase
MG_138_MONOMER	MG_138		Translation elongation factor 4
MG_139_MONOMER	MG_139		ribonuclease J
MG_140_MONOMER	MG_140		putative ATP-dependent helicase
MG_141_MONOMER	MG_141		transcription termination factor NusA
MG_477_MONOMER	MG_477		
MG_142_MONOMER	MG_142		translation initiation factor IF-2
MG_143_MONOMER	MG_143		ribosome-binding factor A
MG_144_MONOMER	MG_144		
MG_145_MONOMER	MG_145		riboflavin biosynthesis protein RibF
MG_146_MONOMER	MG_146		UPF0053 protein
MG_147_MONOMER	MG_147		membrane protein, putative
MG_148_MONOMER	MG_148		
MG_149_MONOMER	MG_149		lipoprotein, putative
MG_478_MONOMER	MG_478		
MG_150_MONOMER	MG_150		ribosomal protein S10
MG_151_MONOMER	MG_151		ribosomal protein L3
MG_152_MONOMER	MG_152		ribosomal protein L4/L1 family
MG_153_MONOMER	MG_153		ribosomal protein L23
MG_154_MONOMER	MG_154		ribosomal protein L2
MG_155_MONOMER	MG_155		ribosomal protein S19
MG_156_MONOMER	MG_156		ribosomal protein L22
MG_157_MONOMER	MG_157		ribosomal protein S3
MG_158_MONOMER	MG_158		ribosomal protein L16
MG_159_MONOMER	MG_159		ribosomal protein L29
MG_160_MONOMER	MG_160		ribosomal protein S17
MG_161_MONOMER	MG_161		ribosomal protein L14
MG_162_MONOMER	MG_162		ribosomal protein L24
MG_163_MONOMER	MG_163		ribosomal protein L5
MG_164_MONOMER	MG_164		ribosomal protein S14
MG_165_MONOMER	MG_165		ribosomal protein S8
MG_166_MONOMER	MG_166		ribosomal protein L6
MG_167_MONOMER	MG_167		ribosomal protein L18
MG_168_MONOMER	MG_168		ribosomal protein S5
MG_169_MONOMER	MG_169		ribosomal protein L15
MG_170_MONOMER	MG_170		preprotein translocase, SecY subunit
MG_171_MONOMER	MG_171		adenylate kinase
MG_172_MONOMER	MG_172		methionine aminopeptidase, type I
MG_173_MONOMER	MG_173		translation initiation factor IF-1
MG_174_MONOMER	MG_174		ribosomal protein L36
MG_175_MONOMER	MG_175		ribosomal protein S13
MG_176_MONOMER	MG_176		
MG_177_MONOMER	MG_177		DNA-directed RNA polymerase, alpha subunit
MG_178_MONOMER	MG_178		ribosomal protein L17
MG_179_MONOMER	MG_179		metal ion (cobalt) ABC transporter, ATP-binding protein, putative
MG_180_MONOMER	MG_180		metal ion (cobalt) ABC transporter, ATP-binding protein, putative
MG_181_MONOMER	MG_181		metal ion (cobalt) ABC transporter, permease protein
MG_182_MONOMER	MG_182		tRNA pseudouridine synthase A
MG_183_MONOMER	MG_183		oligoendopeptidase F
MG_184_MONOMER	MG_184		adenine-specific DNA modification methylase
MG_185_MONOMER	MG_185		lipoprotein, putative
MG_186_MONOMER	MG_186		Oligosaccharide or polyol ABC transporter, substrate binding protein
MG_187_MONOMER	MG_187		Oligosaccharide or polyol ABC transporter, ATP-binding protein
MG_188_MONOMER	MG_188		Oligosaccharide or polyol ABC transporter, permease protein
MG_189_MONOMER	MG_189		Oligosaccharide or polyol ABC transporter, permease protein
MG_190_MONOMER	MG_190		phosphoesterase
MG_191_MONOMER	MG_191		MgPa adhesin
MG_192_MONOMER	MG_192		P110 protein
MG_194_MONOMER	MG_194		phenylalanyl-tRNA synthetase, alpha subunit
MG_195_MONOMER	MG_195		phenylalanyl-tRNA synthetase, beta subunit
MG_196_MONOMER	MG_196		translation initiation factor IF-3
MG_197_MONOMER	MG_197		ribosomal protein L35
MG_198_MONOMER	MG_198		ribosomal protein L20
MG_199_MONOMER	MG_199		ribonuclease HIII, putative, frameshift
MG_200_MONOMER	MG_200		DnaJ domain protein
MG_201_MONOMER	MG_201		co-chaperone GrpE
MG_202_MONOMER	MG_202		
MG_203_MONOMER	MG_203		DNA topoisomerase IV, B subunit
MG_204_MONOMER	MG_204		DNA topoisomerase IV, A subunit
MG_205_MONOMER	MG_205		heat-inducible transcription repressor HrcA, putative
MG_206_MONOMER	MG_206		excinuclease ABC, C subunit
MG_207_MONOMER	MG_207		Ser/Thr protein phosphatase 2A
MG_208_MONOMER	MG_208		glycoprotease
MG_209_MONOMER	MG_209		23S rRNA pseudouridine synthase; U955, U2504, U2580
MG_210_MONOMER	MG_210		prolipoprotein signal peptidase, signal peptidase II
MG_480_MONOMER	MG_480		
MG_481_MONOMER	MG_481		30S ribosomal protein S21
MG_211_MONOMER	MG_211		
MG_482_MONOMER	MG_482		holo-(acyl-carrier-protein) synthase
MG_212_MONOMER	MG_212		1-acyl-sn-glycerol-3-phosphate acyltransferase, putative
MG_213_MONOMER	MG_213		segregation and condensation protein A
MG_214_MONOMER	MG_214		segregation and condensation protein B
MG_215_MONOMER	MG_215		6-phosphofructokinase
MG_216_MONOMER	MG_216		pyruvate kinase
MG_217_MONOMER	MG_217		P65 adhesin
MG_218_MONOMER	MG_218		high molecular weight cytadherence accessory protein 2
MG_491_MONOMER	MG_491		
MG_219_MONOMER	MG_219		
MG_220_MONOMER	MG_220		
MG_221_MONOMER	MG_221		mraZ protein
MG_222_MONOMER	MG_222		S-adenosyl-methyltransferase MraW
MG_223_MONOMER	MG_223		
MG_224_MONOMER	MG_224		cell division protein FtsZ
MG_225_MONOMER	MG_225		amino acid-polyamine-organocation (APC) permease
MG_226_MONOMER	MG_226		amino acid-polyamine-organocation (APC) permease
MG_227_MONOMER	MG_227		thymidylate synthase
MG_228_MONOMER	MG_228		dihydrofolate reductase
MG_229_MONOMER	MG_229		ribonucleoside-diphosphate reductase, beta chain
MG_230_MONOMER	MG_230		ribonucleotide reductase stimulatory protein
MG_231_MONOMER	MG_231		ribonucleoside-diphosphate reductase, alpha chain
MG_232_MONOMER	MG_232		ribosomal protein L21
MG_233_MONOMER	MG_233		
MG_234_MONOMER	MG_234		ribosomal protein L27
MG_235_MONOMER	MG_235		apurinic endonuclease
MG_236_MONOMER	MG_236		ferric uptake repressor
MG_237_MONOMER	MG_237		
MG_238_MONOMER	MG_238		trigger factor
MG_239_MONOMER	MG_239		ATP-dependent protease La
MG_240_MONOMER	MG_240		nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein
MG_241_MONOMER	MG_241		
MG_242_MONOMER	MG_242		
MG_243_MONOMER	MG_243		conserved hypothetical protein, authentic frameshift
MG_244_MONOMER	MG_244		3-5' helicase
MG_245_MONOMER	MG_245		5-formyltetrahydrofolate cyclo-ligase, putative
MG_246_MONOMER	MG_246		Ser/Thr protein phosphatase 2A
MG_247_MONOMER	MG_247		membrane protein, putative
MG_248_MONOMER	MG_248		
MG_249_MONOMER	MG_249		RNA polymerase sigma factor RpoD
MG_250_MONOMER	MG_250		DNA primase
MG_251_MONOMER	MG_251		glycyl-tRNA synthetase
MG_252_MONOMER	MG_252		23S rRNA methyltransferase; G2251
MG_253_MONOMER	MG_253		cysteinyl-tRNA synthetase
MG_254_MONOMER	MG_254		DNA ligase, NAD-dependent
MG_255_MONOMER	MG_255		
MG_494_MONOMER	MG_494		
MG_256_MONOMER	MG_256		
MG_257_MONOMER	MG_257		ribosomal protein L31
MG_258_MONOMER	MG_258		peptide chain release factor 1
MG_259_MONOMER	MG_259		modification methylase
MG_260_MONOMER	MG_260		lipoprotein, putative
MG_261_MONOMER	MG_261		DNA polymerase III, alpha subunit
MG_262_MONOMER	MG_262		polI-like 5'-3' exonuclease, putative
MG_498_MONOMER	MG_498		formamidopyrimidine-DNA glycosylase
MG_263_MONOMER	MG_263		Cof-like hydrolase
MG_264_MONOMER	MG_264		dephospho-CoA kinase
MG_265_MONOMER	MG_265		sugar phosphatase
MG_266_MONOMER	MG_266		leucyl-tRNA synthetase
MG_267_MONOMER	MG_267		
MG_268_MONOMER	MG_268		
MG_269_MONOMER	MG_269		
MG_270_MONOMER	MG_270		lipoyltransferase/lipoate-protein ligase, putative
MG_271_MONOMER	MG_271		dihydrolipoamide dehydrogenase
MG_272_MONOMER	MG_272		dihydrolipoamide acetyltransferase
MG_273_MONOMER	MG_273		pyruvate dehydrogenase component E1, beta subunit
MG_274_MONOMER	MG_274		pyruvate dehydrogenase component E1, alpha subunit
MG_275_MONOMER	MG_275		NADH oxidase
MG_276_MONOMER	MG_276		adenine phosphoribosyltransferase
MG_277_MONOMER	MG_277		Protein-export membrane protein secDF
MG_278_MONOMER	MG_278		GTP diphosphokinase
MG_279_MONOMER	MG_279		
MG_280_MONOMER	MG_280		sensory rhodopsin II transducer motif
MG_281_MONOMER	MG_281		
MG_282_MONOMER	MG_282		transcription elongation factor GreA
MG_283_MONOMER	MG_283		prolyl-tRNA synthetase
MG_284_MONOMER	MG_284		
MG_285_MONOMER	MG_285		
MG_286_MONOMER	MG_286		
MG_287_MONOMER	MG_287		acyl carrier protein
MG_288_MONOMER	MG_288		protein L
MG_289_MONOMER	MG_289		phosphonate ABC transporter, substrate binding protein (P37), putative
MG_290_MONOMER	MG_290		phosphonate ABC transporter, ATP-binding protein, putative
MG_291_MONOMER	MG_291		phosphonate ABC transporter, permease protein (P69), putative
MG_505_MONOMER	MG_505		putative holliday junction resolvase
MG_292_MONOMER	MG_292		alanyl-tRNA synthetase
MG_293_MONOMER	MG_293		glycerophosphoryl diester phosphodiesterase
MG_294_MONOMER	MG_294		major facilitator superfamily (MFS) protein
MG_295_MONOMER	MG_295		tRNA U34 sulfurtransferase
MG_296_MONOMER	MG_296		
MG_297_MONOMER	MG_297		signal recognition particle receptor
MG_298_MONOMER	MG_298		chromosome segregation protein SMC
MG_299_MONOMER	MG_299		phosphate acetyltransferase
MG_300_MONOMER	MG_300		phosphoglycerate kinase
MG_301_MONOMER	MG_301		glyceraldehyde-3-phosphate dehydrogenase, type I
MG_302_MONOMER	MG_302		metal ion (cobalt) ABC transporter, permease protein, putative
MG_303_MONOMER	MG_303		metal ion (cobalt) ABC transporter, ATP-binding protein, putative
MG_304_MONOMER	MG_304		metal ion (cobalt) ABC transporter, ATP-binding protein, putative
MG_305_MONOMER	MG_305		chaperone
MG_306_MONOMER	MG_306		membrane protein, putative
MG_307_MONOMER	MG_307		lipoprotein, putative
MG_308_MONOMER	MG_308		ATP-dependent RNA helicase
MG_309_MONOMER	MG_309		lipoprotein, putative
MG_310_MONOMER	MG_310		hydrolase, Putative esterase/lipase 1
MG_311_MONOMER	MG_311		ribosomal protein S4
MG_312_MONOMER	MG_312		high molecular weight cytadherence accessory protein 1
MG_313_MONOMER	MG_313		membrane protein, putative
MG_314_MONOMER	MG_314		
MG_315_MONOMER	MG_315		DNA polymerase III, delta subunit, putative
MG_316_MONOMER	MG_316		DNA internalization-related competence protein ComEC/Rec2
MG_317_MONOMER	MG_317		high molecular weight cytadherence accessory protein 3
MG_318_MONOMER	MG_318		P32 adhesin
MG_319_MONOMER	MG_319		
MG_320_MONOMER	MG_320		membrane protein, putative
MG_321_MONOMER	MG_321		oligopeptide ABC transporter, substrate binding protein
MG_322_MONOMER	MG_322		potassium uptake protein
MG_323_MONOMER	MG_323		potassium uptake protein
MG_515_MONOMER	MG_515		
MG_324_MONOMER	MG_324		aminopeptidase
MG_325_MONOMER	MG_325		ribosomal protein L33
MG_326_MONOMER	MG_326		degV family protein
MG_327_MONOMER	MG_327		hydrolase, Putative esterase/lipase 2
MG_328_MONOMER	MG_328		coiled coil putative structural protein involved in cytoskeleton
MG_329_MONOMER	MG_329		GTP-binding protein engA
MG_330_MONOMER	MG_330		cytidylate kinase
MG_331_MONOMER	MG_331		
MG_332_MONOMER	MG_332		
MG_333_MONOMER	MG_333		FMN-dependent NADH-azoreductase, putative
MG_334_MONOMER	MG_334		valyl-tRNA synthetase
MG_335_MONOMER	MG_335		GTP-binding protein engB, putative
MG_516_MONOMER	MG_516		
MG_517_MONOMER	MG_517		glycosyl transferase, group 2 family protein
MG_336_MONOMER	MG_336		cysteine desulfurase
MG_337_MONOMER	MG_337		
MG_338_MONOMER	MG_338		lipoprotein, putative
MG_339_MONOMER	MG_339		recombination protein, strand exchange
MG_340_MONOMER	MG_340		DNA-directed RNA polymerase, beta subunit
MG_341_MONOMER	MG_341		DNA-directed RNA polymerase, beta subunit
MG_342_MONOMER	MG_342		NADPH-dependent FMN reductase domain protein
MG_343_MONOMER	MG_343		
MG_344_MONOMER	MG_344		hydrolase, Putative esterase/lipase 3
MG_345_MONOMER	MG_345		isoleucyl-tRNA synthetase
MG_346_MONOMER	MG_346		23S rRNA methyltransferase; U2552
MG_347_MONOMER	MG_347		tRNA (guanine-N(7)-)-methyltransferase
MG_348_MONOMER	MG_348		lipoprotein, putative
MG_349_MONOMER	MG_349		Replication initiation/membrane attachment protein
MG_350_MONOMER	MG_350		
MG_521_MONOMER	MG_521		membrane protein, putative
MG_351_MONOMER	MG_351		inorganic pyrophosphatase
MG_352_MONOMER	MG_352		Holliday junction endonuclease
MG_353_MONOMER	MG_353		DNA-binding protein HU, putative
MG_354_MONOMER	MG_354		
MG_355_MONOMER	MG_355		ATP-dependent Clp protease, ATPase subunit
MG_356_MONOMER	MG_356		choline/ethanolamine kinase, putative
MG_357_MONOMER	MG_357		acetate kinase
MG_358_MONOMER	MG_358		Holliday junction DNA helicase
MG_359_MONOMER	MG_359		Holliday junction DNA helicase RuvB
MG_360_MONOMER	MG_360		ImpB/MucB/SamB family protein
MG_361_MONOMER	MG_361		ribosomal protein L10
MG_362_MONOMER	MG_362		ribosomal protein L7/L12
MG_363_MONOMER	MG_363		ribosomal protein L32
MG_522_MONOMER	MG_522		ribosomal protein S20
MG_364_MONOMER	MG_364		Replication initiation/membrane attachment protein
MG_365_MONOMER	MG_365		methionyl-tRNA formyltransferase
MG_366_MONOMER	MG_366		
MG_367_MONOMER	MG_367		ribonuclease III
MG_368_MONOMER	MG_368		fatty acid/phospholipid synthesis protein PlsX
MG_369_MONOMER	MG_369		DAK2 phosphatase domain protein
MG_370_MONOMER	MG_370		23S rRNA pseudouridine synthase; U1911, U1915, U1917
MG_371_MONOMER	MG_371		DHH family protein
MG_372_MONOMER	MG_372		thiamine biosynthesis/tRNA modification protein ThiI
MG_373_MONOMER	MG_373		
MG_374_MONOMER	MG_374		
MG_375_MONOMER	MG_375		threonyl-tRNA synthetase
MG_376_MONOMER	MG_376		
MG_377_MONOMER	MG_377		
MG_378_MONOMER	MG_378		arginyl-tRNA synthetase
MG_379_MONOMER	MG_379		tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
MG_380_MONOMER	MG_380		methyltransferase GidB
MG_381_MONOMER	MG_381		
MG_382_MONOMER	MG_382		uridine kinase
MG_383_MONOMER	MG_383		NH(3)-dependent NAD+ synthetase, putative
MG_384_MONOMER	MG_384		GTPase1 Obg
MG_524_MONOMER	MG_524		
MG_385_MONOMER	MG_385		glycerophosphoryl diester phosphodiesterase family protein
MG_386_MONOMER	MG_386		P200 protein
MG_387_MONOMER	MG_387		GTP-binding protein Era
MG_388_MONOMER	MG_388		Putative metalloprotease
MG_389_MONOMER	MG_389		
MG_390_MONOMER	MG_390		toxin ABC transporter, ATP-binding/permease protein
MG_391_MONOMER	MG_391		cytosol aminopeptidase
MG_392_MONOMER	MG_392		chaperonin
MG_393_MONOMER	MG_393		chaperonin, 10 kDa
MG_394_MONOMER	MG_394		serine hydroxymethyltransferase
MG_395_MONOMER	MG_395		lipoprotein, putative
MG_396_MONOMER	MG_396		ribose 5-phosphate isomerase B
MG_397_MONOMER	MG_397		
MG_398_MONOMER	MG_398		ATP synthase F1, epsilon subunit
MG_399_MONOMER	MG_399		ATP synthase F1, beta subunit
MG_400_MONOMER	MG_400		ATP synthase F1, gamma subunit
MG_401_MONOMER	MG_401		ATP synthase F1, alpha subunit
MG_402_MONOMER	MG_402		ATP synthase F1, delta subunit
MG_403_MONOMER	MG_403		ATP synthase F0, B subunit
MG_404_MONOMER	MG_404		ATP synthase F0, C subunit
MG_405_MONOMER	MG_405		ATP synthase F0, A subunit
MG_406_MONOMER	MG_406		
MG_407_MONOMER	MG_407		enolase
MG_408_MONOMER	MG_408		methionine-S-sulfoxide reductase
MG_409_MONOMER	MG_409		phosphate transport system regulatory protein PhoU, putative
MG_410_MONOMER	MG_410		phosphate ABC transporter, ATP-binding protein
MG_411_MONOMER	MG_411		phosphate ABC transporter, permease protein PstA
MG_412_MONOMER	MG_412		phosphate ABC transporter, substrate-binding protein
MG_414_MONOMER	MG_414		
MG_525_MONOMER	MG_525		
MG_417_MONOMER	MG_417		ribosomal protein S9
MG_418_MONOMER	MG_418		ribosomal protein L13
MG_419_MONOMER	MG_419		DNA polymerase III, subunit gamma and tau
MG_421_MONOMER	MG_421		excinuclease ABC, A subunit
MG_422_MONOMER	MG_422		
MG_423_MONOMER	MG_423		metallo-beta-lactamase superfamily protein
MG_424_MONOMER	MG_424		ribosomal protein S15
MG_425_MONOMER	MG_425		ATP-dependent RNA helicase
MG_426_MONOMER	MG_426		ribosomal protein L28
MG_427_MONOMER	MG_427		osmotically inducible peroxidase
MG_428_MONOMER	MG_428		LuxR bacterial regulatory protein, putative
MG_429_MONOMER	MG_429		PTS system, E1
MG_430_MONOMER	MG_430		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MG_431_MONOMER	MG_431		triosephosphate isomerase
MG_432_MONOMER	MG_432		membrane protein, putative
MG_433_MONOMER	MG_433		translation elongation factor Ts
MG_434_MONOMER	MG_434		uridylate kinase
MG_435_MONOMER	MG_435		ribosome recycling factor
MG_437_MONOMER	MG_437		phosphatidate cytidylyltransferase
MG_438_MONOMER	MG_438		type I restriction modification DNA specificity domain protein
MG_439_MONOMER	MG_439		lipoprotein, putative
MG_440_MONOMER	MG_440		lipoprotein, putative
MG_441_MONOMER	MG_441		
MG_442_MONOMER	MG_442		ribosomal biogenesis GTPase
MG_443_MONOMER	MG_443		membrane protein, putative
MG_444_MONOMER	MG_444		ribosomal protein L19
MG_445_MONOMER	MG_445		tRNA (guanine-N1)-methyltransferase
MG_446_MONOMER	MG_446		ribosomal protein S16
MG_447_MONOMER	MG_447		multidrug efflux pump
MG_448_MONOMER	MG_448		methionine-R-sulfoxide reductase
